derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,income,applicant_age
Not Hispanic or Latino,White,Joint,3,35000,4.458762699,405000,120,35-44
Not Hispanic or Latino,White,Joint,3,65000,4.458762699,665000,216,45-54
Not Hispanic or Latino,White,Joint,3,45000,4.458762699,595000,188,35-44
Not Hispanic or Latino,White,Joint,1,265000,3.625,265000,61,25-34
Ethnicity Not Available,Race Not Available,Male,3,155000,4.458762699,305000,51,45-54
Joint,White,Joint,1,545000,3.875,545000,103,25-34
Not Hispanic or Latino,Black or African American,Male,3,55000,4.458762699,455000,47,55-64
Not Hispanic or Latino,Asian,Male,3,65000,4.458762699,475000,92,55-64
Ethnicity Not Available,Race Not Available,Sex Not Available,1,635000,4,795000,234,35-44
Not Hispanic or Latino,White,Joint,1,95000,3.75,545000,122,65-74
Hispanic or Latino,White,Male,3,35000,4.458762699,435000,69,35-44
Not Hispanic or Latino,White,Joint,1,415000,3.875,425000,89,25-34
Not Hispanic or Latino,Black or African American,Male,3,485000,4.458762699,605000,-1,55-64
Not Hispanic or Latino,White,Female,3,155000,4.458762699,905000,21,>74
Ethnicity Not Available,Race Not Available,Female,3,195000,4.458762699,605000,28,>74
Not Hispanic or Latino,White,Joint,1,495000,3.75,495000,247,35-44
Not Hispanic or Latino,Black or African American,Joint,1,405000,4,535000,126,45-54
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Joint,3,475000,4.458762699,605000,121,55-64
Not Hispanic or Latino,White,Male,3,15000,4.458762699,415000,100,55-64
Not Hispanic or Latino,White,Male,1,105000,6,525000,164,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,1,575000,4,575000,168,25-34
Hispanic or Latino,White,Joint,1,445000,3.75,435000,89,25-34
Not Hispanic or Latino,White,Joint,1,375000,4.5,375000,233,55-64
Hispanic or Latino,White,Female,3,35000,4.458762699,655000,60,45-54
Not Hispanic or Latino,White,Male,1,345000,3.875,355000,100,45-54
Hispanic or Latino,White,Joint,3,535000,4.458762699,585000,108,55-64
Not Hispanic or Latino,Black or African American,Joint,1,705000,3.625,685000,227,45-54
Not Hispanic or Latino,White,Female,1,105000,5.75,655000,99,55-64
Not Hispanic or Latino,Asian,Joint,3,55000,4.458762699,905000,66,45-54
Not Hispanic or Latino,Joint,Joint,1,185000,3.75,775000,105,65-74
Not Hispanic or Latino,White,Female,1,105000,6,755000,109,55-64
Joint,Joint,Joint,1,75000,4.125,485000,42,65-74
Hispanic or Latino,Race Not Available,Male,3,435000,4.458762699,905000,51,65-74
Not Hispanic or Latino,Asian,Female,1,105000,5.75,455000,36,>74
Not Hispanic or Latino,Black or African American,Male,1,535000,5,545000,143,45-54
Not Hispanic or Latino,White,Male,1,485000,3.875,485000,71,25-34
Hispanic or Latino,White,Male,1,205000,5.125,205000,117.8525735,<25
Hispanic or Latino,White,Female,1,385000,5.5,375000,108,45-54
Hispanic or Latino,White,Male,1,565000,3.625,565000,191,55-64
Not Hispanic or Latino,Joint,Joint,1,45000,6.05,465000,170,55-64
Ethnicity Not Available,Race Not Available,Joint,1,105000,5.75,665000,109,55-64
Not Hispanic or Latino,White,Male,3,15000,4.458762699,295000,124,55-64
Not Hispanic or Latino,White,Joint,3,55000,4.458762699,365000,114,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,1,445000,3.75,625000,90,55-64
Not Hispanic or Latino,Asian,Male,1,605000,3.625,765000,105,25-34
Joint,White,Joint,1,765000,5.5,765000,185,35-44
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Female,1,195000,3.625,445000,71,55-64
Hispanic or Latino,Race Not Available,Female,3,175000,4.458762699,365000,54,45-54
Not Hispanic or Latino,White,Male,3,25000,4.458762699,495000,35,65-74
Joint,White,Joint,1,405000,3.75,435000,131,45-54
Not Hispanic or Latino,White,Male,3,25000,4.458762699,455000,52,35-44
Not Hispanic or Latino,White,Male,1,265000,3.5,265000,62,25-34
Hispanic or Latino,Race Not Available,Male,1,405000,4.5,515000,150,25-34
Not Hispanic or Latino,White,Joint,1,465000,3.5,475000,97,35-44
Hispanic or Latino,White,Male,3,65000,4.458762699,435000,49,65-74
Not Hispanic or Latino,White,Male,3,125000,4.458762699,635000,198,25-34
Not Hispanic or Latino,White,Joint,1,155000,3.5,155000,58,25-34
Not Hispanic or Latino,Black or African American,Male,1,185000,3.625,185000,74,25-34
Not Hispanic or Latino,White,Joint,3,405000,4.458762699,445000,129,45-54
Ethnicity Not Available,Race Not Available,Sex Not Available,3,55000,4.458762699,255000,96,45-54
Not Hispanic or Latino,White,Joint,1,515000,3.875,625000,127,25-34
Not Hispanic or Latino,Asian,Male,3,35000,4.458762699,605000,96,35-44
Ethnicity Not Available,Race Not Available,Joint,1,445000,4,455000,134,25-34
Not Hispanic or Latino,White,Joint,3,35000,4.458762699,285000,150,35-44
Not Hispanic or Latino,White,Male,1,65000,6.05,495000,135,55-64
Not Hispanic or Latino,White,Male,1,105000,5.75,685000,118,45-54
Not Hispanic or Latino,Black or African American,Female,3,355000,4.458762699,355000,69,25-34
Ethnicity Not Available,White,Male,3,495000,4.458762699,515000,114,25-34
Hispanic or Latino,White,Male,1,455000,3.625,455000,102,35-44
Not Hispanic or Latino,White,Female,3,625000,4.458762699,905000,119,65-74
Ethnicity Not Available,Race Not Available,Male,1,495000,3.75,505000,95,25-34
Not Hispanic or Latino,White,Joint,1,435000,3.875,425000,117,25-34
Hispanic or Latino,Black or African American,Female,3,85000,4.458762699,325000,92,35-44
Not Hispanic or Latino,Asian,Male,1,315000,4.125,345000,74,25-34
Not Hispanic or Latino,White,Joint,1,485000,4.125,755000,102,25-34
Not Hispanic or Latino,Asian,Joint,1,515000,3.875,505000,89,25-34
Hispanic or Latino,White,Male,1,295000,3.875,285000,73,<25
Not Hispanic or Latino,Asian,Female,1,575000,3.625,565000,85,<25
Not Hispanic or Latino,White,Joint,1,505000,4,1135000,135,>74
Hispanic or Latino,White,Joint,1,545000,4,625000,113,25-34
Joint,Asian,Joint,1,415000,3.875,445000,96,45-54
Hispanic or Latino,White,Male,3,95000,4.458762699,565000,31,45-54
Ethnicity Not Available,Black or African American,Male,1,515000,3.75,505000,93,55-64
Not Hispanic or Latino,Black or African American,Female,1,455000,5,485000,165,35-44
Not Hispanic or Latino,Black or African American,Joint,3,515000,4.458762699,575000,113,55-64
Ethnicity Not Available,Asian,Joint,1,65000,6.05,535000,111,55-64
Not Hispanic or Latino,White,Male,1,115000,5.25,105000,68,55-64
Hispanic or Latino,White,Male,1,195000,4.5,185000,45,25-34
Not Hispanic or Latino,Asian,Female,1,205000,4.875,465000,50,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,3,385000,4.458762699,435000,112,35-44
Not Hispanic or Latino,White,Female,1,535000,5.125,565000,112,35-44
Not Hispanic or Latino,Black or African American,Male,3,85000,4.458762699,855000,180,35-44
Not Hispanic or Latino,Joint,Joint,1,765000,5.875,745000,207,45-54
Joint,White,Male,3,565000,4.458762699,565000,173,25-34
Not Hispanic or Latino,Asian,Female,3,375000,4.458762699,375000,113,45-54
Ethnicity Not Available,Race Not Available,Joint,1,675000,3.625,685000,183,35-44
Not Hispanic or Latino,Black or African American,Joint,3,385000,4.458762699,405000,71,45-54
Hispanic or Latino,Race Not Available,Joint,3,25000,4.458762699,325000,58,45-54
Not Hispanic or Latino,White,Male,3,555000,4.458762699,525000,84,55-64
Not Hispanic or Latino,White,Male,1,205000,4,205000,108,55-64
Hispanic or Latino,White,Joint,3,455000,4.458762699,485000,220,45-54
Ethnicity Not Available,Race Not Available,Joint,1,335000,5.75,335000,77,25-34
Ethnicity Not Available,Race Not Available,Joint,3,505000,4.458762699,505000,67,25-34
Joint,White,Joint,1,105000,5.75,755000,98,35-44
Not Hispanic or Latino,White,Joint,1,465000,5.375,515000,138,45-54
Not Hispanic or Latino,Black or African American,Male,3,15000,4.458762699,385000,66,35-44
Not Hispanic or Latino,White,Female,1,305000,4.5,385000,84,35-44
Not Hispanic or Latino,White,Male,1,235000,3.375,265000,57,25-34
Not Hispanic or Latino,White,Male,1,605000,3.625,595000,70,<25
Joint,White,Joint,3,25000,4.458762699,645000,190,25-34
Not Hispanic or Latino,White,Male,3,315000,4.458762699,325000,88,25-34
Ethnicity Not Available,Race Not Available,Male,1,485000,3.625,515000,141,35-44
Not Hispanic or Latino,Asian,Male,1,685000,3.625,665000,160,35-44
Not Hispanic or Latino,White,Joint,1,455000,4,455000,123,35-44
Not Hispanic or Latino,White,Joint,1,355000,3.625,615000,80,55-64
Not Hispanic or Latino,Asian,Male,3,15000,4.458762699,375000,100,45-54
Joint,Joint,Joint,3,105000,4.458762699,405000,151,45-54
Ethnicity Not Available,Joint,Joint,1,425000,4,535000,176,25-34
Not Hispanic or Latino,White,Joint,1,375000,3.75,375000,61,25-34
Not Hispanic or Latino,White,Joint,1,555000,4,635000,105,35-44
Not Hispanic or Latino,American Indian or Alaska Native,Male,3,55000,4.458762699,445000,65,65-74
Not Hispanic or Latino,White,Joint,3,45000,4.458762699,465000,148,65-74
Not Hispanic or Latino,Asian,Female,3,75000,4.458762699,455000,40,65-74
Not Hispanic or Latino,Black or African American,Female,3,105000,4.458762699,885000,13,45-54
Not Hispanic or Latino,White,Male,1,275000,3.375,345000,73,35-44
Not Hispanic or Latino,Joint,Joint,1,355000,3.875,345000,70,25-34
Not Hispanic or Latino,White,Joint,1,85000,3.875,85000,135,45-54
Not Hispanic or Latino,White,Male,1,725000,4.625,775000,184,35-44
Not Hispanic or Latino,Asian,Female,1,585000,3.625,565000,93,35-44
Not Hispanic or Latino,Black or African American,Female,3,365000,4.458762699,355000,71,25-34
Not Hispanic or Latino,White,Female,1,255000,3.625,255000,84,45-54
Not Hispanic or Latino,White,Male,1,365000,3.625,425000,72,25-34
Hispanic or Latino,White,Female,3,155000,4.458762699,295000,107,35-44
Not Hispanic or Latino,White,Male,1,235000,3.625,235000,50,<25
Joint,Joint,Joint,1,785000,5.5,775000,187,25-34
Not Hispanic or Latino,Joint,Joint,1,445000,3.875,445000,111,25-34
Not Hispanic or Latino,White,Joint,1,895000,4.375,1075000,193,45-54
Ethnicity Not Available,Race Not Available,Male,3,105000,4.458762699,855000,190,45-54
Ethnicity Not Available,Race Not Available,Male,3,55000,4.458762699,855000,190,45-54
Not Hispanic or Latino,White,Male,3,305000,4.458762699,805000,7,35-44
Not Hispanic or Latino,Joint,Joint,1,95000,5.375,145000,105,>74
Not Hispanic or Latino,Asian,Male,1,605000,4,605000,107,45-54
Not Hispanic or Latino,White,Joint,3,155000,4.458762699,265000,53,65-74
Joint,Black or African American,Joint,3,25000,4.458762699,315000,122,35-44
Hispanic or Latino,Race Not Available,Joint,1,595000,5.5,585000,173,45-54
Not Hispanic or Latino,White,Female,1,75000,4.125,175000,43,65-74
Joint,Joint,Joint,3,215000,4.458762699,775000,85,25-34
Not Hispanic or Latino,Joint,Joint,1,725000,3.75,705000,129,25-34
Not Hispanic or Latino,White,Male,3,335000,4.458762699,365000,87,35-44
Joint,Joint,Joint,1,475000,3.75,465000,127,25-34
Not Hispanic or Latino,Black or African American,Joint,3,355000,4.458762699,355000,76,25-34
Not Hispanic or Latino,Black or African American,Female,1,915000,5.25,1015000,195,45-54
Ethnicity Not Available,Race Not Available,Male,1,325000,3.625,325000,91,25-34
Ethnicity Not Available,Race Not Available,Male,3,395000,4.458762699,385000,158,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,1,195000,4.875,215000,115,25-34
Hispanic or Latino,White,Male,3,215000,4.458762699,775000,65,25-34
Not Hispanic or Latino,White,Male,3,35000,4.458762699,575000,86,25-34
Ethnicity Not Available,Race Not Available,Joint,1,525000,3.625,515000,111,45-54
Hispanic or Latino,Black or African American,Male,3,455000,4.458762699,465000,115,45-54
Not Hispanic or Latino,Race Not Available,Joint,1,585000,4,775000,187,55-64
Not Hispanic or Latino,White,Male,1,905000,3.625,1005000,126,35-44
Not Hispanic or Latino,Asian,Joint,3,35000,4.458762699,605000,119,35-44
Not Hispanic or Latino,Asian,Joint,1,295000,3.75,605000,159,35-44
Not Hispanic or Latino,White,Male,1,205000,3.625,205000,74,45-54
Not Hispanic or Latino,Asian,Joint,1,255000,3.625,805000,43,65-74
Ethnicity Not Available,Race Not Available,Joint,1,315000,5.625,315000,93,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,3,635000,4.458762699,545000,173,45-54
Not Hispanic or Latino,Joint,Joint,3,305000,4.458762699,655000,141,65-74
Hispanic or Latino,Black or African American,Female,1,385000,3.625,385000,65,25-34
Not Hispanic or Latino,White,Joint,1,935000,4.5,935000,256,35-44
Hispanic or Latino,White,Male,1,445000,3.625,445000,111,25-34
Hispanic or Latino,White,Male,1,105000,6,615000,67,25-34
Hispanic or Latino,White,Male,3,115000,4.458762699,185000,34,55-64
Not Hispanic or Latino,White,Joint,1,135000,4,205000,211,65-74
Hispanic or Latino,White,Male,1,285000,3.625,275000,52,<25
Not Hispanic or Latino,White,Joint,1,105000,5.75,435000,149,55-64
Not Hispanic or Latino,Joint,Joint,1,305000,4,455000,99,35-44
Not Hispanic or Latino,White,Joint,3,35000,4.458762699,535000,151,<25
Joint,Race Not Available,Joint,3,45000,4.458762699,625000,125,45-54
Joint,White,Joint,1,685000,4,685000,202,35-44
Not Hispanic or Latino,White,Female,3,415000,4.458762699,455000,111,35-44
Not Hispanic or Latino,White,Female,3,455000,4.458762699,885000,225,45-54
Not Hispanic or Latino,White,Joint,1,335000,4.875,385000,174,25-34
Not Hispanic or Latino,Black or African American,Male,1,265000,3.625,295000,100,35-44
Ethnicity Not Available,Race Not Available,Joint,1,545000,4,685000,91,25-34
Not Hispanic or Latino,White,Male,1,395000,3.625,385000,84,25-34
Joint,Joint,Joint,1,705000,4.875,745000,202,35-44
Hispanic or Latino,Race Not Available,Male,3,55000,4.458762699,805000,26,55-64
Hispanic or Latino,Black or African American,Male,1,335000,3.75,425000,181,35-44
Hispanic or Latino,Race Not Available,Male,3,65000,4.458762699,415000,114,35-44
Not Hispanic or Latino,Black or African American,Male,1,525000,4,665000,188,55-64
Not Hispanic or Latino,White,Joint,1,475000,4.25,795000,79,65-74
Not Hispanic or Latino,Black or African American,Female,3,15000,4.458762699,235000,108,35-44
Joint,White,Joint,1,215000,3.625,245000,69,25-34
Not Hispanic or Latino,Black or African American,Female,3,565000,4.458762699,565000,103,35-44
Not Hispanic or Latino,White,Male,3,55000,4.458762699,905000,244,65-74
Ethnicity Not Available,Race Not Available,Sex Not Available,1,775000,3.625,1045000,188,35-44
Not Hispanic or Latino,White,Male,3,625000,4.458762699,665000,103,65-74
Not Hispanic or Latino,Joint,Joint,3,55000,4.458762699,705000,143,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,3,15000,4.458762699,355000,120,25-34
Not Hispanic or Latino,Black or African American,Male,1,105000,6,565000,96,45-54
Not Hispanic or Latino,White,Female,1,195000,3.625,195000,81,55-64
Not Hispanic or Latino,Asian,Joint,3,35000,4.458762699,465000,117,55-64
Hispanic or Latino,White,Joint,3,45000,4.458762699,645000,168,55-64
Hispanic or Latino,White,Male,1,585000,3.625,775000,94,45-54
Hispanic or Latino,White,Joint,1,445000,3.25,555000,158,35-44
Joint,White,Joint,3,75000,4.458762699,655000,175,35-44
Joint,White,Joint,3,365000,4.458762699,385000,62,<25
Not Hispanic or Latino,White,Male,3,65000,4.458762699,425000,47,65-74
Not Hispanic or Latino,White,Male,3,385000,4.458762699,475000,119,65-74
Hispanic or Latino,White,Male,1,475000,4.875,485000,102,55-64
Not Hispanic or Latino,White,Female,3,25000,4.458762699,175000,25,55-64
Not Hispanic or Latino,Asian,Joint,1,775000,3.5,975000,190,55-64
Ethnicity Not Available,Race Not Available,Male,3,345000,4.458762699,345000,65,55-64
Not Hispanic or Latino,Asian,Joint,1,355000,4,395000,91,55-64
Ethnicity Not Available,Race Not Available,Sex Not Available,3,15000,4.458762699,455000,135,35-44
Not Hispanic or Latino,White,Joint,3,155000,4.458762699,605000,89,55-64
Not Hispanic or Latino,White,Male,3,275000,4.458762699,275000,63,25-34
Hispanic or Latino,White,Joint,3,115000,4.458762699,595000,193,45-54
Not Hispanic or Latino,Asian,Joint,3,595000,4.458762699,625000,191,55-64
Not Hispanic or Latino,Black or African American,Male,3,45000,4.458762699,735000,137,45-54
Not Hispanic or Latino,Joint,Joint,3,45000,4.458762699,605000,119,55-64
Not Hispanic or Latino,Black or African American,Female,3,45000,4.458762699,345000,49,55-64
Not Hispanic or Latino,White,Joint,1,405000,3.625,405000,161,25-34
Hispanic or Latino,White,Female,1,345000,3.625,355000,191,45-54
Not Hispanic or Latino,White,Male,1,365000,3.625,355000,70,25-34
Not Hispanic or Latino,White,Joint,1,155000,6,1095000,236,45-54
Hispanic or Latino,White,Male,3,85000,4.458762699,565000,50,55-64
Not Hispanic or Latino,Asian,Joint,1,525000,3.875,515000,87,25-34
Hispanic or Latino,Race Not Available,Male,1,665000,5.625,655000,198,35-44
Ethnicity Not Available,Race Not Available,Male,3,85000,4.458762699,765000,127,25-34
Not Hispanic or Latino,Race Not Available,Joint,1,405000,4.125,865000,173,35-44
Hispanic or Latino,White,Male,1,735000,4.375,735000,157,25-34
Not Hispanic or Latino,White,Male,1,245000,3.875,245000,89,<25
Not Hispanic or Latino,Asian,Female,3,45000,4.458762699,585000,66,65-74
Hispanic or Latino,Black or African American,Joint,1,35000,5.75,645000,92,65-74
Not Hispanic or Latino,2 or more minority races,Female,1,475000,5.5,465000,99,45-54
Not Hispanic or Latino,White,Male,1,245000,3.875,245000,118,55-64
Not Hispanic or Latino,Black or African American,Joint,3,45000,4.458762699,435000,241,35-44
Hispanic or Latino,Race Not Available,Male,3,485000,4.458762699,495000,17,35-44
Not Hispanic or Latino,White,Female,3,65000,4.458762699,415000,40,65-74
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,285000,3.75,285000,63,<25
Not Hispanic or Latino,White,Male,3,275000,4.458762699,375000,77,35-44
Hispanic or Latino,Joint,Joint,1,115000,3,135000,48,55-64
Not Hispanic or Latino,White,Male,1,605000,3.625,595000,192,35-44
Not Hispanic or Latino,White,Male,1,325000,3.5,335000,48,45-54
Hispanic or Latino,White,Male,1,455000,3.75,445000,84,45-54
Not Hispanic or Latino,White,Joint,1,105000,5.75,795000,84,55-64
Not Hispanic or Latino,Asian,Male,3,65000,4.458762699,435000,198,45-54
Not Hispanic or Latino,White,Female,3,15000,4.458762699,205000,73,25-34
Not Hispanic or Latino,White,Male,1,455000,3.625,455000,105,25-34
Not Hispanic or Latino,Black or African American,Male,3,415000,4.458762699,395000,60,35-44
Hispanic or Latino,Race Not Available,Male,3,155000,4.458762699,255000,53,45-54
Hispanic or Latino,2 or more minority races,Female,3,455000,4.458762699,525000,114,35-44
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Female,1,95000,6.05,925000,93,65-74
Not Hispanic or Latino,Asian,Joint,1,305000,4.5,345000,163,25-34
Not Hispanic or Latino,White,Joint,3,55000,4.458762699,435000,141,45-54
Not Hispanic or Latino,White,Male,3,45000,4.458762699,315000,21,65-74
Not Hispanic or Latino,White,Male,1,555000,4.75,595000,110,35-44
Not Hispanic or Latino,White,Joint,1,505000,5.75,495000,144,45-54
Ethnicity Not Available,Race Not Available,Joint,1,545000,3.75,585000,194,35-44
Ethnicity Not Available,Race Not Available,Female,3,45000,4.458762699,365000,36,55-64
Ethnicity Not Available,Race Not Available,Sex Not Available,1,535000,3.625,515000,97,35-44
Joint,Joint,Joint,3,315000,4.458762699,315000,65,35-44
Not Hispanic or Latino,White,Male,1,395000,3.625,395000,101,25-34
Hispanic or Latino,White,Male,1,555000,4.375,845000,107,35-44
Not Hispanic or Latino,White,Joint,1,205000,5.75,1065000,80,35-44
Hispanic or Latino,American Indian or Alaska Native,Male,1,215000,4.375,555000,58,55-64
Not Hispanic or Latino,Joint,Joint,1,275000,5.5,265000,89,25-34
Not Hispanic or Latino,White,Joint,1,195000,3.75,195000,185,55-64
Not Hispanic or Latino,Asian,Male,1,105000,5.75,475000,70,25-34
Not Hispanic or Latino,White,Male,3,165000,4.458762699,405000,195,35-44
Hispanic or Latino,White,Male,1,335000,3.625,325000,83,45-54
Not Hispanic or Latino,Race Not Available,Joint,1,255000,5.75,905000,121,>74
Not Hispanic or Latino,White,Joint,1,425000,3.625,495000,99,35-44
Not Hispanic or Latino,Black or African American,Male,1,595000,3.75,695000,157,45-54
Joint,White,Joint,1,705000,3.625,875000,159,25-34
Not Hispanic or Latino,White,Joint,1,695000,3.625,695000,145,25-34
Not Hispanic or Latino,White,Joint,1,105000,3.125,355000,50,65-74
Ethnicity Not Available,White,Joint,1,475000,3.875,475000,72,25-34
Not Hispanic or Latino,Race Not Available,Joint,3,465000,4.458762699,755000,198,45-54
Not Hispanic or Latino,White,Male,1,215000,3.625,215000,86,35-44
Hispanic or Latino,Race Not Available,Joint,1,55000,6,485000,80,35-44
Ethnicity Not Available,White,Joint,1,385000,4.5,435000,131,25-34
Not Hispanic or Latino,White,Male,1,35000,6,665000,162,55-64
Not Hispanic or Latino,Joint,Joint,1,545000,3.625,545000,257,35-44
Not Hispanic or Latino,White,Joint,1,105000,6,505000,204,35-44
Not Hispanic or Latino,White,Joint,1,615000,3.625,645000,205,35-44
Not Hispanic or Latino,Race Not Available,Sex Not Available,1,445000,3.625,475000,110,25-34
Hispanic or Latino,White,Male,1,335000,3.375,325000,74,25-34
Not Hispanic or Latino,2 or more minority races,Male,3,265000,4.458762699,285000,61,45-54
Not Hispanic or Latino,White,Joint,1,895000,3.625,1005000,246,35-44
Hispanic or Latino,White,Male,1,135000,4.875,135000,68,35-44
Not Hispanic or Latino,White,Joint,1,615000,3.625,605000,116,35-44
Not Hispanic or Latino,White,Joint,1,135000,3.625,135000,39,<25
Ethnicity Not Available,Black or African American,Joint,3,495000,4.458762699,675000,86,55-64
Ethnicity Not Available,Race Not Available,Female,3,125000,4.458762699,745000,210,35-44
Not Hispanic or Latino,White,Joint,1,175000,3.75,175000,124,35-44
Not Hispanic or Latino,American Indian or Alaska Native,Male,3,105000,4.458762699,525000,98,35-44
Not Hispanic or Latino,White,Male,1,135000,3.375,135000,99,45-54
Ethnicity Not Available,Race Not Available,Female,1,605000,3.75,605000,104,25-34
Ethnicity Not Available,Race Not Available,Female,3,65000,4.458762699,535000,176,35-44
Ethnicity Not Available,White,Male,3,75000,4.458762699,1005000,72,45-54
Not Hispanic or Latino,White,Male,1,515000,3.625,515000,148,45-54
Hispanic or Latino,White,Male,3,65000,4.458762699,445000,103,35-44
Not Hispanic or Latino,Joint,Joint,3,205000,4.458762699,335000,93,55-64
Ethnicity Not Available,Race Not Available,Sex Not Available,3,45000,4.458762699,355000,78,45-54
Not Hispanic or Latino,White,Joint,1,315000,3.875,325000,111,>74
Not Hispanic or Latino,White,Joint,1,35000,5.75,735000,65,65-74
Not Hispanic or Latino,Asian,Male,1,185000,3.75,205000,101,25-34
Hispanic or Latino,White,Female,3,25000,4.458762699,495000,89,35-44
Not Hispanic or Latino,White,Male,1,415000,4.375,415000,88,35-44
Not Hispanic or Latino,White,Male,3,55000,4.458762699,685000,82,35-44
Not Hispanic or Latino,White,Joint,1,355000,3.5,355000,122,35-44
Not Hispanic or Latino,White,Joint,1,835000,3.625,1005000,215,35-44
Not Hispanic or Latino,White,Joint,1,425000,3.625,425000,129,45-54
Not Hispanic or Latino,White,Joint,1,555000,3.5,575000,100,45-54
Not Hispanic or Latino,White,Joint,1,585000,3.625,595000,152,35-44
Hispanic or Latino,White,Joint,1,505000,3.5,485000,66,25-34
Not Hispanic or Latino,Asian,Male,1,285000,3,285000,77,25-34
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Female,3,15000,4.458762699,405000,40,65-74
Not Hispanic or Latino,White,Joint,3,25000,4.458762699,475000,81,55-64
Joint,Joint,Joint,3,655000,4.458762699,775000,85,25-34
Not Hispanic or Latino,2 or more minority races,Male,1,225000,4.25,475000,66,65-74
Hispanic or Latino,White,Joint,1,555000,5.625,545000,135,35-44
Not Hispanic or Latino,Asian,Joint,3,85000,4.458762699,625000,161,25-34
Joint,White,Joint,3,295000,4.458762699,305000,59,65-74
Not Hispanic or Latino,Black or African American,Joint,1,375000,5.25,425000,65,45-54
Not Hispanic or Latino,White,Joint,3,45000,4.458762699,985000,256,35-44
Not Hispanic or Latino,Asian,Male,3,255000,4.458762699,705000,17,35-44
Not Hispanic or Latino,Asian,Male,3,35000,4.458762699,605000,68,25-34
Not Hispanic or Latino,White,Male,1,395000,4,575000,150,25-34
Not Hispanic or Latino,Black or African American,Male,3,25000,4.458762699,435000,122,45-54
Not Hispanic or Latino,White,Joint,1,505000,5.75,1185000,145,55-64
Not Hispanic or Latino,White,Male,3,75000,4.458762699,385000,40,55-64
Hispanic or Latino,White,Female,3,125000,4.458762699,145000,113,35-44
Hispanic or Latino,White,Male,3,105000,4.458762699,425000,61,65-74
Not Hispanic or Latino,White,Male,1,645000,3.75,625000,132,25-34
Not Hispanic or Latino,White,Joint,3,25000,4.458762699,415000,127,35-44
Not Hispanic or Latino,White,Joint,1,535000,3.375,585000,115,55-64
Not Hispanic or Latino,White,Joint,1,505000,3.625,635000,156,55-64
Not Hispanic or Latino,Black or African American,Male,3,255000,4.458762699,355000,99,45-54
Not Hispanic or Latino,Black or African American,Female,1,275000,3.75,275000,45,45-54
Not Hispanic or Latino,White,Joint,1,255000,3.75,255000,63,25-34
Not Hispanic or Latino,White,Male,3,75000,4.458762699,485000,77,35-44
Hispanic or Latino,White,Female,3,55000,4.458762699,385000,48,45-54
Not Hispanic or Latino,White,Joint,1,665000,3.5,655000,113,25-34
Hispanic or Latino,White,Joint,1,265000,3.625,275000,63,>74
Ethnicity Not Available,Race Not Available,Female,1,395000,4.25,395000,125,35-44
Not Hispanic or Latino,Asian,Joint,1,415000,3.625,425000,152,35-44
Ethnicity Not Available,Race Not Available,Joint,1,305000,4,295000,57,<25
Not Hispanic or Latino,Black or African American,Female,3,65000,4.458762699,525000,101,55-64
Ethnicity Not Available,Race Not Available,Joint,1,765000,4.875,805000,175,25-34
Joint,Black or African American,Joint,1,255000,5.125,255000,63,35-44
Ethnicity Not Available,Race Not Available,Joint,3,15000,4.458762699,895000,0,65-74
Hispanic or Latino,Asian,Female,3,395000,4.458762699,555000,34,45-54
Ethnicity Not Available,Race Not Available,Joint,1,535000,3.375,535000,115,25-34
Not Hispanic or Latino,White,Male,1,415000,3.5,465000,111,35-44
Not Hispanic or Latino,White,Male,3,265000,4.458762699,265000,43,65-74
Not Hispanic or Latino,Asian,Male,1,285000,3.25,495000,45,65-74
Not Hispanic or Latino,White,Joint,3,565000,4.458762699,565000,108,25-34
Hispanic or Latino,White,Joint,3,45000,4.458762699,455000,110,45-54
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Joint,1,315000,3.375,315000,107,45-54
Not Hispanic or Latino,American Indian or Alaska Native,Joint,1,485000,3.875,495000,191,35-44
Not Hispanic or Latino,Joint,Joint,1,545000,3.375,565000,169,35-44
Not Hispanic or Latino,Asian,Female,1,235000,5.25,435000,39,25-34
Not Hispanic or Latino,Black or African American,Male,1,375000,4.875,365000,109,25-34
Not Hispanic or Latino,White,Male,3,155000,4.458762699,705000,77,45-54
Not Hispanic or Latino,White,Male,1,155000,3.75,155000,49,<25
Not Hispanic or Latino,White,Male,1,125000,4.25,125000,53,25-34
Ethnicity Not Available,Race Not Available,Joint,1,145000,3.375,165000,73,45-54
Not Hispanic or Latino,White,Male,3,55000,4.458762699,515000,66,35-44
Not Hispanic or Latino,Asian,Female,3,155000,4.458762699,165000,48,45-54
Hispanic or Latino,White,Male,3,35000,4.458762699,445000,78,35-44
